Year,Month,Day,Hour,Minute,Temperature (c),Clearsky DHI (w/m2),Clearsky DNI (w/m2),Clearsky GHI (w/m2),Cloud Type,Dew Point (c),DHI (w/m2),DNI (w/m2),Fill Flag,GHI (w/m2),Relative Humidity (%),Solar Zenith Angle (degree),Surface Albedo,Pressure (mbar),Precipitable Water (cm),Wind Direction (degrees),Wind Speed (m/s),Solar Azimuth Angle (degrees),Panel Tilt (degrees),Panel Azimuth Angle (degrees)
2016,1,1,0,0,24.3,48,346,101,4,23.4,23,0,3,23,94.53,81.31,0.15,1009,5.5,18,1,114.1016528,25.820192767786438,90.0
2016,1,1,1,0,25.6,83,652,329,3,24.2,160,117,3,204,91.72,67.86,0.15,1010,5.5,32,1.3,116.9882978,65.45712920997795,90.0
2016,1,1,2,0,27.2,97,798,557,3,24.2,141,0,0,141,83.95,54.84,0.15,1010,5.5,42,1.6,122.1448472,50.244194660552004,90.0
2016,1,1,3,0,28.5,121,839,737,3,23.9,246,13,0,255,76.14,42.79,0.15,1010,5.6,46,1.7,131.1015083,34.90088371238779,90.0
2016,1,1,4,0,29.2,130,875,864,3,23.8,117,0,0,117,72.59,32.87,0.15,1009,5.7,50,1.7,146.8529092,19.45835325823772,90.0
2016,1,1,5,0,29.6,132,890,921,3,23.8,465,151,0,599,70.93,27.51,0.15,1008,5.8,53,1.6,172.368467,3.956338416190178,90.0
2016,1,1,6,0,29.8,161,837,890,3,23.7,453,137,0,572,70.04,29.35,0.15,1007,5.9,56,1.6,201.3241682,11.558061634954612,270.0
2016,1,1,7,0,29.7,154,812,799,3,23.8,328,31,0,353,70.49,37.34,0.15,1006,5.9,59,1.5,221.9795649,27.03608984195948,270.0
2016,1,1,8,0,29.1,135,769,644,3,24,294,56,0,332,74.16,48.52,0.15,1006,6,61,1.3,233.9315346,42.43376396732263,270.0
2016,1,1,9,0,28.3,111,678,439,3,24.5,197,327,0,355,79.7,61.13,0.15,1006,6,62,1.1,240.7615403,57.71605465119844,270.0
2016,1,1,10,0,27.2,76,497,210,3,24.7,97,289,3,175,86.48,74.42,0.15,1007,5.9,61,0.8,244.6855629,72.8517136886481,270.0
2016,1,1,11,0,25.8,16,66,19,3,24.5,13,6,3,13,92.59,-9999,0.15,1008,5.9,59,0.4,246.7459153,5.934368708836288,270.0
2016,1,1,12,0,25.1,0,0,0,4,24.2,0,0,0,0,94.49,-9999,0.15,1009,5.8,59,0.4,247.3452493,0,0
2016,1,1,13,0,24.6,0,0,0,3,23.8,0,0,0,0,95.28,-9999,0.15,1010,5.7,55,0.4,246.4517036,0,0
2016,1,1,14,0,24.3,0,0,0,0,23.5,0,0,0,0,95.17,-9999,0.15,1010,5.6,45,0.4,243.5204798,0,0
2016,1,1,15,0,24,0,0,0,0,23.2,0,0,0,0,95.35,-9999,0.15,1010,5.5,33,0.4,236.9649595,0,0
2016,1,1,16,0,23.8,0,0,0,0,23,0,0,0,0,95.22,-9999,0.15,1010,5.3,24,0.4,222.4400453,0,0
2016,1,1,17,0,23.6,0,0,0,0,22.8,0,0,0,0,95.25,-9999,0.15,1009,5.2,16,0.4,190.9494954,0,0
2016,1,1,18,0,23.3,0,0,0,1,22.6,0,0,0,0,95.72,-9999,0.15,1008,5.2,10,0.4,151.2355871,0,0
2016,1,1,19,0,23.1,0,0,0,3,22.4,0,0,0,0,95.73,-9999,0.15,1008,5.1,10,0.4,129.063882,0,0
2016,1,1,20,0,22.9,0,0,0,3,22.2,0,0,0,0,95.83,-9999,0.15,1008,5,8,0.4,119.2206008,0,0
2016,1,1,21,0,22.7,0,0,0,1,22,0,0,0,0,95.96,-9999,0.15,1008,5.1,6,0.4,114.7174515,0,0
2016,1,1,22,0,22.6,0,0,0,1,21.9,0,0,0,0,95.81,-9999,0.15,1008,5.1,5,0.4,112.8775822,0,0
2016,1,1,23,0,22.8,0,0,0,1,22,0,0,0,0,95.42,-9999,0.15,1008,5.1,5,0.4,112.7296955,0,0
2016,1,2,0,0,24.4,47,360,100,3,23,52,5,3,53,92.06,81.41,0.15,1009,5.1,15,0.9,114.0054519,25.464078813421807,90.0
2016,1,2,1,0,26.2,83,654,329,1,23.4,83,654,0,329,84.37,67.94,0.15,1010,5.2,32,1.2,116.874001,65.57007209909085,90.0
2016,1,2,2,0,27.7,104,783,554,3,23.2,181,4,0,183,76.46,54.91,0.15,1011,5.3,39,1.3,122.0014145,50.359135682809956,90.0
2016,1,2,3,0,28.7,118,849,740,3,23.1,357,253,0,542,71.67,42.84,0.15,1010,5.3,41,1.3,130.9117853,35.01803817599705,90.0
2016,1,2,4,0,29.5,126,883,868,3,23.1,382,49,0,423,68.54,32.87,0.15,1010,5.3,42,1.3,146.6026653,19.57779544477046,90.0
2016,1,2,5,0,30,130,895,925,3,23.1,177,5,0,182,66.65,27.45,0.15,1009,5.4,42,1.3,172.1096743,4.0779380960295555,90.0
2016,1,2,6,0,30.1,139,875,903,0,23.1,139,875,0,903,66.35,29.24,0.15,1008,5.5,41,1.2,201.1860388,11.434631657343658,270.0
