Year,Month,Day,Hour,Minute,Temperature (c),Clearsky DHI (w/m2),Clearsky DNI (w/m2),Clearsky GHI (w/m2),Cloud Type,Dew Point (c),DHI (w/m2),DNI (w/m2),Fill Flag,GHI (w/m2),Relative Humidity (%),Solar Zenith Angle (degree),Surface Albedo,Pressure (mbar),Precipitable Water (cm),Wind Direction (degrees),Wind Speed (m/s),Solar Azimuth Angle (degrees),Panel Tilt (degrees),Panel Azimuth Angle (degrees)
2016,1,1,0,0,18.1,21,132,28,0,12.6,21,132,0,28,70.2,-9999,0.18,1008,2.7,67,4.6,114.9558723,8.621239966,90
2016,1,1,1,0,21,82,509,220,0,13.1,82,509,0,220,60.73,74.28,0.18,1008,2.8,76,5.9,120.1671966,71.96257701,90
2016,1,1,2,0,24.2,117,680,433,0,14,117,680,0,433,52.78,62.3,0.18,1009,2.8,83,6.2,127.4914597,56.50453212,90
2016,1,1,3,0,27,121,812,624,0,14.5,121,812,0,624,46.37,51.67,0.18,1008,2.7,87,6.1,137.9996151,40.24585153,90
2016,1,1,4,0,29.2,130,859,753,0,15,130,859,0,753,41.95,43.45,0.18,1007,2.7,89,5.5,153.0561898,23.22796091,90
2016,1,1,5,0,30.8,135,875,813,0,15.2,135,875,0,813,38.97,39.17,0.18,1006,2.7,87,4.7,172.9954251,5.67459221,90
2016,1,1,6,0,31.6,134,872,800,0,15.3,134,872,0,800,37.43,40.15,0.18,1005,2.7,85,4,194.625258,12.02199047,270
2016,1,1,7,0,31.7,127,845,714,0,15.2,127,845,0,714,36.96,46.03,0.18,1004,2.7,83,3.7,212.9593726,29.41924527,270
2016,1,1,8,0,31.2,114,791,564,0,15,114,791,0,564,37.49,55.27,0.18,1003,2.7,82,3.5,226.2451851,46.17717284,270
2016,1,1,9,0,30.2,93,683,365,0,14.9,93,683,0,365,39.48,66.48,0.18,1003,2.8,80,3.1,235.4637746,62.14247401,270
2016,1,1,10,0,27.1,57,464,147,0,16.7,57,464,0,147,52.95,78.78,0.18,1004,2.7,76,1.4,241.9357553,37.51805697,270
2016,1,1,11,0,24.8,0,0,0,0,17,0,0,0,0,61.92,-9999,0.18,1004,2.7,68,1.2,246.570878,nan,nan
2016,1,1,12,0,24.1,0,0,0,0,16.6,0,0,0,0,63.04,-9999,0.18,1005,2.7,61,1.4,249.8852927,nan,nan
2016,1,1,13,0,23.4,0,0,0,0,16.2,0,0,0,0,64.1,-9999,0.18,1006,2.7,57,1.6,252.0933738,nan,nan
2016,1,1,14,0,22.8,0,0,0,0,15.9,0,0,0,0,64.94,-9999,0.18,1006,2.6,55,1.9,253.0907622,nan,nan
2016,1,1,15,0,22.3,0,0,0,0,15.6,0,0,0,0,65.61,-9999,0.18,1006,2.6,55,2.3,252.1302934,nan,nan
2016,1,1,16,0,22,0,0,0,0,15.3,0,0,0,0,65.94,-9999,0.18,1006,2.6,55,2.8,245.9759473,nan,nan
2016,1,1,17,0,21.5,0,0,0,0,15.3,0,0,0,0,67.61,-9999,0.18,1006,2.7,57,3.2,211.9192807,nan,nan
2016,1,1,18,0,21.1,0,0,0,0,15.3,0,0,0,0,69.39,-9999,0.18,1006,2.7,58,3.3,128.3687811,nan,nan
